,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
34,redo_Axes Physical Therapy Emerson Building Inserts 11 5 24_RUB36.eps,1959870.0,Generic Paper,1.0,0:03:00,36.0,33.0,13.430708661,483.505511796,10,3.430708661,113.213385813,0.029,0.049,0.037,0.077,0.1,0.077,0.098,0.467,0.5939933649,Roll-up banner,Not Laminated,Single Print Job,0.7658488206422622,1
35,Friendship Vill Versa at Home 7 23 24_HPW36_LAMI.eps,6374206.0,3M™ IJ180Cv3,1.0,0:08:00,36.0,31.6,61.93070866,2229.50551176,30,31.93070866,1009.010393656,0.022,0.799,0.464,0.003,0.347,0.082,0.141,1.858,0.2651892107,High Performance White,Laminated,Single Print Job,0.5474286166444708,1
36,Sybergs Hours 11 14 24_HPW36_LAMI.eps,6570110.0,3M™ IJ180Cv3,1.0,0:04:00,36.0,27.75,49.541732280000005,1783.5023620800002,30,19.54173228,542.28307077,0.015,0.14,0.132,0.004,0.201,0.095,0.025,0.612,0.1625152159,High Performance White,Laminated,Single Print Job,0.6959448541814292,1
37,Sybergs Hours 11 14 24_HPW36_LAMI.eps,6570110.0,3M™ IJ180Cv3,1.0,0:06:00,36.0,27.75,49.541732280000005,1783.5023620800002,30,19.54173228,542.28307077,0.015,0.14,0.132,0.004,0.201,0.095,0.025,0.612,0.1625152159,High Performance White,Laminated,Single Print Job,0.6959448541814292,1
38,Momentum oops late signs 11 14 24_p2_BAN63.eps,9030894.0,Generic Banner II,1.0,0:21:00,63.0,44.01,96.01377953,6048.86811039,10,86.01377953,3785.4664371152994,0.887,1.497,3.184,0.432,3.91,2.533,2.402,14.845,0.5646586675,Banner,Not Laminated,Single Print Job,0.3741859852072007,1
39,Momentum oops late signs 11 14 24_BAN63.eps,187728742.0,Generic Banner II,1.0,0:22:00,63.0,44.01,96.48622047,6078.63188961,10,86.48622047,3806.2585628847,1.414,2.345,1.515,0.332,5.197,4.772,3.042,18.617,0.7042658157,Banner,Not Laminated,Single Print Job,0.37382973142515685,1
40,Momentum oops late signs 11 14 24_MAG24_FLL_LAMI.eps,5724858.0,Generic Vinyl II HD,1.0,0:06:00,24.0,24.0,48.01377953,1152.33070872,30,18.01377953,432.33070872,0.071,0.241,0.043,0.021,0.198,0.137,0.13,0.841,0.3010268269,Magnets,Laminated,Single Print Job,0.6248206305286877,1
41,P1_MC-IRH-SSM-MissionNight2024-Posters-PRINT_INT30_LAMI.eps,483055178.0,Generic Vinyl II HD,1.0,0:49:00,30.0,25.24,176.4582677,5293.748031,30,146.4582677,3696.6066767479997,2.698,4.426,1.71,1.97,1.384,1.616,1.688,15.492,0.6035851548,Intermediate White,Laminated,Single Print Job,0.30170331963274366,1
42,P2_MC-IRH-SSM-MissionNight2024-Posters-PRINT_INT30_LAMI.eps,814953566.0,Generic Vinyl II HD,1.0,0:54:00,30.0,25.24,176.4582677,5293.748031,30,146.4582677,3696.6066767479997,2.365,4.023,1.749,2.23,1.323,1.449,1.453,14.592,0.5685201768,Intermediate White,Laminated,Single Print Job,0.30170331963274366,1
43,RCV Decal correction  11-4-24_INT54.eps,5866166.0,Generic Vinyl II HD,1.0,0:57:00,54.0,47.86,191.7779528,10356.0094512,10,181.7779528,8699.892821008001,4.1,4.384,0.262,21.05,11.502,7.419,7.215,55.932,0.9257626398,Intermediate White,Not Laminated,Single Print Job,0.15991841625831038,0
