Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,FDF Plumbing Chevy red utility truck 9 30 24_HPW30.eps,09/30/2024,0:20:02,4278,142.58,82.58346457,2166.645471,0.4934790236,"High Performance White 30""",0.7212476712,"High Performance White 30""",
Roland,Fenton Crossing  42x174  2-1-24.eps,02/02/2024,0:43:00,0,176.01,176.0137795,30980.85058,Can't Estimate Waste,,0.1259616804,,
Roland,Ferguson Decal 3-18-24_INT30.eps,03/18/2024,0:29:50,4017,133.89,103.8889764,2659.230586,0.3379513241,"Intermediate White 30""",2.624807355,"Intermediate White 30""",
Roland,FINAL  Door Logo LFCS  4-25-24 & 66 Decal_HPW36.eps,04/26/2024,0:05:03,1602,44.50,14.5,435.8049213,0.7279619717,"High Performance White 36""",0.08524915206,"High Performance White 36""",
Roland,Final Logo Need 2 2-5-24.eps,02/06/2024,0:16:02,0,36.67,36.66653543,1344.434821,Can't Estimate Waste,,0.5046938606,,
Roland,Final Print back door 4-18-24_P1_HPW36.eps,04/22/2024,0:21:00,3600,100.01,70.01377953,2449.489962,0.3196798665,"High Performance White 36""",1.456642834,"High Performance White 36""",
Roland,Final Print back door 4-18-24_P2_HPW36.eps,04/22/2024,0:16:02,3600,100.01,70.01377953,2449.489962,0.3196798665,"High Performance White 36""",1.346357018,"High Performance White 36""",
Roland,Final Print Driver side 4-18-24_P1_HPW54.eps,04/22/2024,0:28:58,5816,107.71,77.70826772,3987.93323,0.3143458999,"High Performance White 54""",1.43294676,"High Performance White 54""",
Roland,Final Print Driver side 4-18-24_P2_HPW54.eps,04/22/2024,0:28:56,5816,107.71,77.70826772,4046.214431,0.3043254853,"High Performance White 54""",1.37312347,"High Performance White 54""",
Roland,Final Print Driver side 4-18-24_P3_HPW54.eps,04/22/2024,0:21:00,5816,107.71,77.70826772,3987.93323,0.3143458999,"High Performance White 54""",1.262079305,"High Performance White 54""",
Roland,Final Print Passenger side 4-18-24_P1_HPW54.eps,04/22/2024,0:21:01,5816,107.71,77.70826772,3987.93323,0.3143458999,"High Performance White 54""",1.47544697,"High Performance White 54""",
Roland,Final Print Passenger side 4-18-24_P2_HPW54.eps,04/22/2024,0:21:01,5816,107.71,77.70826772,4046.214431,0.3043254853,"High Performance White 54""",1.454835402,"High Performance White 54""",
Roland,Final Print Passenger side 4-18-24_P3_HPW54.eps,04/22/2024,0:21:00,5816,107.71,77.70826772,3987.93323,0.3143458999,"High Performance White 54""",1.472449929,"High Performance White 54""",
Roland,FIX FOR Greater St Louis Book Fair 10 10 24 + Resident Roofing 2024_HPW30.eps,10/15/2024,0:11:57,2416,80.53,50.52795276,1048.435127,0.5660160682,"High Performance White 30""",0.4609383906,"High Performance White 30""",
Roland,Flat Roof mag 7 9 24_MAG24.eps,07/12/2024,0:07:00,1297,54.03,24.02716535,539.608512,0.5838447593,"Magnet 24""",0.385346034,"Magnet 24""",
Roland,FOGHORN Rooster Decal 5-4-24_INT54.eps,05/06/2024,0:02:01,1239,22.94,7.944488189,407.9244465,0.6707637863,"Intermediate White 54""",0.1800333386,"Intermediate White 54""",
Roland,For Lease Banners NEW 6-14-24_BAN36.eps,06/14/2024,0:58:56,10145,161.03,146.0275591,4822.93383,Can't Estimate Waste,,0.4782848119,,
Roland,FOR SALE BURST Need 12  10-9-24_HPW36.eps,10/10/2024,0:07:57,1936,53.79,23.79133858,599.0733988,0.6906392705,"High Performance White 36""",0.4454078591,"High Performance White 36""",
Roland,Fretfree Kitchen Logo_240ct_INT60.eps,09/12/2024,0:18:59,2412,40.21,25.20826772,1455.777461,0.3965679435,"Intermediate White 60""",0.4722260226,"Intermediate White 60""",
Roland,Friendship Vill Altima at Home 5 1 24_HPW24.eps,05/02/2024,0:14:00,2968,123.67,63.66692913,1027.494,0.6538100341,"High Performance White 24""",0.5213461102,"High Performance White 24""",
Roland,Friendship Vill Versa at Home 7 23 24_HPW36.eps,07/24/2024,0:08:59,2230,61.93,31.93070866,1008.909825,0.5474737249,"High Performance White 36""",0.227366207,"High Performance White 36""",
Roland,Friendship Vill Versa at Home 7 23 24.eps,07/29/2024,0:13:57,0,63.93,63.93070866,1037.967911,Can't Estimate Waste,,0.2210010517,,
Roland,Friendship Village Dog park rules Chesterfield 4 4 24_HPW54.eps,04/15/2024,0:15:56,3320,61.47,31.47244094,1329.264564,0.5995602247,"High Performance White 54""",0.4336473082,"High Performance White 54""",
Roland,Friendship Village front logo Monster Shuttle 4 22 24_HPW24.eps,04/23/2024,0:10:04,2135,88.96,58.95826772,1041.588326,0.5121362557,"High Performance White 24""",0.1058998044,"High Performance White 24""",
Roland,Gallagher Decal FINAL 9-26-22_HPW30.eps,06/04/2024,0:05:58,1325,44.18,14.18070866,400.4040333,0.6979043227,"High Performance White 30""",0.2449126179,"High Performance White 30""",
Roland,Gateway 61 vinyl wall job 3 21 24_HPW30.eps,03/21/2024,0:06:03,954,26.51,11.51377953,312.4676576,0.6726359911,"High Performance White 30""",0.2700567497,"High Performance White 30""",
Roland,Gateway Disposal Mack Medium rear Loader # 138 4 1 24_HPW54.eps,04/03/2024,0:46:59,11634,215.44,185.4444882,5612.251105,0.5175992809,"High Performance White 54""",0.4599993749,"High Performance White 54""",
Roland,Geo Tech truck decals_with tagline_Rear Bumper License Plate WRAP NEW  #2   5-17-24_HPW48.eps,05/20/2024,0:12:02,3192,66.50,36.5,1671.383858,0.476383503,"Water Damaged HP White 54"" to 48""",0.4014876635,"Water Damaged HP White 54"" to 48""",
Roland,gerber_collison & glass_window &  Wash U Quad Brasas_HPW24.eps,05/17/2024,0:13:01,2279,94.96,64.95826772,1326.222775,0.4180677091,"High Performance White 24""",0.9109781729,"High Performance White 24""",
Roland,gerber_collison & glass_window_No Cut_HPW60.eps,05/17/2024,0:20:55,5595,93.25,63.25,3653.559055,0.3469957006,"High Performance White 60""",1.612490153,"High Performance White 60""",
Roland,Gershman Commercial Sole Print_door vinyl 11_HPW24.eps,07/15/2024,0:08:58,1470,61.24,31.23622047,579.1613398,0.605924038,"High Performance White 24""",1.134771876,"High Performance White 24""",
Roland,GMB 4X4 LOGO BANN 3 14 24_BAN54.eps,03/18/2024,0:12:03,3510,65.00,50,2500,0.2877492877,"Banner 54""",1.5928704,"Banner 54""",
