Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Length (in),Area (in),Extra for Lead in,Actual Length area,Actual Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
New Job(A),XR-640#2,WWT Employee Entry MAG 12x24  2-7-24.eps,4368370,616.65,311.85,3M™ IJ180Cv3,1,616.65,323.85,,,2024/02/08 8:01:05,,,,,,0:00:00,,24.28,12.75,0,,12.75,309.538878,,,,,,,,0,0
Print End,XR-640#2,Sybergs twisted tree Host Seating Sign.eps,243626238,1142.29,354.89,3M™ IJ180Cv3,1,1224.645,366.89,0.288:0.750:0.842:0.126:1.336:0.751:0.814,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/8/2024,2024/02/08 8:05:02,,0:06:57,54.00,44.97,44.44,2400.002362,30,14.44448819,649.5982053,0.288,0.750,0.842,0.126,1.336,0.751,0.814,4.907,1.087761626
Print End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1251.985,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 16:14:02,,0:36:58,54.00,47.12,175.67,9485.992913,30,145.6665354,6864.506808,0.000,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864
Print End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1237.7,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 15:34:02,,0:24:57,54.00,46.00,117.50,6345,30,87.5,4024.965551,0.000,15.596,7.904,0.003,3.950,0.091,0.564,28.108,1.005611588
RIP End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1251.985,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 15:04:04,2024/02/07 15:18:02,,,,0:00:00,54.00,47.12,175.67,9485.992913,30,145.6665354,6864.506808,0.000,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864
RIP End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1237.7,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 15:04:02,2024/02/07 15:09:04,,,,0:00:00,54.00,46.00,117.50,6345,30,87.5,4024.965551,0.000,15.596,7.904,0.003,3.950,0.091,0.564,28.108,1.005611588
Print End,XR-640#2,2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,6638254,1012.47,2210.5,3M™ IJ180Cv3,1,1159.735,2222.5,0.000:8.163:4.138:0.003:2.068:0.048:0.286,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 14:59:05,,0:23:04,54.00,39.86,117.50,6345,30,87.5,3487.839567,0.000,8.163,4.138,0.003,2.068,0.048,0.286,14.706,0.607156367
RIP End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1398.485,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 14:35:04,2024/02/07 14:44:05,,,,0:00:00,54.00,47.12,175.67,9485.992913,30,145.6665354,6864.506808,0.000,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864
Print Canceled,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1196.97,3699.93,,,,,,2/7/2024,2024/02/07 14:34:05,,0:03:05,54.00,47.12,175.67,0,30,145.6665354,6864.506808,,,,,,,,0,0
RIP End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1384.195,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 14:30:05,2024/02/07 14:36:02,,,,0:00:00,,46.00,87.50,0,,87.5,4024.965551,0.000,15.596,7.904,0.003,3.950,0.091,0.564,28.108,1.005611588
RIP End,XR-640#2,Sybergs twisted tree Host Seating Sign.eps,243626238,1142.29,354.89,3M™ IJ180Cv3,1,1224.645,366.89,0.288:0.750:0.842:0.126:1.336:0.751:0.814,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 13:54:01,2024/02/07 13:55:05,,,,0:00:00,54.00,44.97,44.44,2400.002362,30,14.44448819,649.5982053,0.288,0.750,0.842,0.126,1.336,0.751,0.814,4.907,1.087761626
Print Error,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1168.39,2222.5,,,,,,2/7/2024,2024/02/07 14:19:03,Print Error : Unknown error.,0:25:58,,46.00,87.50,0,,87.5,4024.965551,,,,,,,,0,0
