,Unnamed: 0,REF,Review_Date,Cocoa_Percent,Rating,Company Latitude,Company Logitude,Company_Location_Count,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,clusters,cluster
1151,1151,1411,2014,0.88,3.25,-40.9,174.89,17,147.3257,-6.314993,1,0,pink
1152,1152,1411,2014,0.74,3.5,-40.9,174.89,17,147.3257,-6.314993,1,0,pink
1153,1153,1594,2015,0.7,2.75,37.09,-95.71,738,-61.2225,10.6918,4,0,pink
1154,1154,1598,2015,0.7,3.0,37.09,-95.71,738,34.8888,-6.369028,11,0,pink
1155,1155,761,2011,0.7,3.5,51.17,10.45,35,-63.5887,-16.2902,1,1,purple
1156,1156,486,2010,0.72,3.0,37.09,-95.71,738,-70.1627,18.7357,1,1,purple
1157,1157,486,2010,0.72,3.0,37.09,-95.71,738,-1.0232,7.9465,1,1,purple
1158,1158,457,2009,0.67,2.75,37.09,-95.71,738,-1.0232,7.9465,1,1,purple
1159,1159,457,2009,0.75,3.0,37.09,-95.71,738,-1.0232,7.9465,1,1,purple
1160,1160,688,2011,0.76,2.0,56.13,-106.35,117,-75.0,18.0,2,1,purple
1161,1161,688,2011,0.76,2.75,56.13,-106.35,117,-75.0,18.0,2,1,purple
1162,1162,688,2011,0.85,2.75,56.13,-106.35,117,-75.0,18.0,2,1,purple
1163,1163,688,2011,0.85,3.0,56.13,-106.35,117,-75.0,18.0,2,1,purple
1164,1164,693,2011,0.8,2.75,7.95,-1.02,1,-1.0232,7.9465,15,1,purple
1165,1165,1816,2016,0.7,3.75,64.96,-19.02,3,34.8888,-6.369028,4,0,pink
1166,1166,1247,2014,0.7,3.0,64.96,-19.02,3,147.3257,-6.314993,15,0,pink
1167,1167,1247,2014,0.66,3.5,64.96,-19.02,3,46.8691,-18.7669,56,0,pink
1168,1168,1161,2013,0.74,2.75,56.13,-106.35,117,-88.4977,17.1899,10,0,pink
1169,1169,1165,2013,0.72,2.75,56.13,-106.35,117,-70.1627,18.7357,11,0,pink
1170,1170,1165,2013,0.72,2.75,56.13,-106.35,117,-85.2072,12.8654,1,0,pink
1171,1171,1165,2013,0.72,3.0,56.13,-106.35,117,-70.1627,18.7357,1,0,pink
1172,1172,1165,2013,0.72,3.0,56.13,-106.35,117,-78.1834,-1.8312,3,0,pink
1173,1173,1438,2014,0.68,2.75,46.82,8.23,35,147.3257,-6.314993,1,0,pink
1174,1174,733,2011,0.66,3.75,46.82,8.23,35,-63.5887,-16.2902,1,1,purple
1175,1175,331,2009,0.7,3.0,46.82,8.23,35,23.656,-4.0383,1,1,purple
1176,1176,341,2009,0.75,3.0,46.82,8.23,35,-75.0152,-9.189967,1,1,purple
1177,1177,341,2009,0.68,3.25,46.82,8.23,35,-63.5887,-16.2902,1,1,purple
1178,1178,316,2009,0.6,3.0,37.09,-95.71,738,-155.5828,19.8968,1,1,purple
1179,1179,24,2006,0.6,3.0,37.09,-95.71,738,-155.5828,19.8968,1,1,purple
1180,1180,859,2012,0.65,3.0,-9.19,-75.02,17,-75.0152,-9.189967,45,0,pink
1181,1181,859,2012,0.72,3.0,-9.19,-75.02,17,-75.0152,-9.189967,45,0,pink
1182,1182,1848,2016,0.7,4.0,-1.83,-78.18,54,-74.2973,4.5709,1,0,pink
1183,1183,1415,2014,0.7,3.25,-1.83,-78.18,54,-78.1834,-1.8312,1,0,pink
1184,1184,1415,2014,0.7,3.5,-1.83,-78.18,54,-78.1834,-1.8312,1,0,pink
1185,1185,1415,2014,0.7,3.75,-1.83,-78.18,54,-78.1834,-1.8312,1,0,pink
1186,1186,1415,2014,0.7,4.0,-1.83,-78.18,54,-78.1834,-1.8312,1,0,pink
1187,1187,817,2012,0.85,2.75,-1.83,-78.18,54,-78.1834,-1.8312,1,1,purple
1188,1188,863,2012,0.7,4.0,-1.83,-78.18,54,-75.0152,-9.189967,8,0,pink
1189,1189,721,2011,0.7,3.5,-1.83,-78.18,54,-78.1834,-1.8312,1,1,purple
1190,1190,224,2008,0.6,2.5,-1.83,-78.18,54,-78.1834,-1.8312,7,1,purple
1191,1191,224,2008,0.65,2.75,-1.83,-78.18,54,-78.1834,-1.8312,10,1,purple
1192,1192,224,2008,0.72,3.0,-1.83,-78.18,54,-78.1834,-1.8312,6,1,purple
1193,1193,266,2008,1.0,2.0,-1.83,-78.18,54,-78.1834,-1.8312,2,1,purple
1194,1194,266,2008,0.7,3.5,-1.83,-78.18,54,-78.1834,-1.8312,2,1,purple
1195,1195,1720,2016,0.7,2.75,56.13,-106.35,117,-90.2308,15.7835,3,0,pink
1196,1196,1720,2016,0.72,3.0,56.13,-106.35,117,-88.4977,17.1899,2,0,pink
1197,1197,1570,2015,0.7,3.25,56.13,-106.35,117,-63.5887,-16.2902,1,0,pink
1198,1198,1570,2015,0.7,3.25,56.13,-106.35,117,-61.2225,10.6918,4,0,pink
1199,1199,1574,2015,0.72,3.5,56.13,-106.35,117,34.8888,-6.369028,6,0,pink
1200,1200,1574,2015,0.72,3.75,56.13,-106.35,117,108.2772,14.0583,4,0,pink
1201,1201,1239,2014,0.72,2.75,56.13,-106.35,117,-63.5887,-16.2902,1,0,pink
1202,1202,1239,2014,0.78,3.75,56.13,-106.35,117,46.8691,-18.7669,19,0,pink
1203,1203,1303,2014,0.75,2.75,56.13,-106.35,117,-78.1834,-1.8312,7,0,pink
1204,1204,1399,2014,0.75,3.5,56.13,-106.35,117,-61.2225,10.6918,1,0,pink
1205,1205,1399,2014,0.7,3.75,56.13,-106.35,117,-61.2225,10.6918,6,0,pink
1206,1206,1860,2016,0.76,3.0,40.46,-3.7,21,179.4144,-17.7134,2,0,pink
1207,1207,1363,2014,0.65,3.5,37.09,-95.71,738,-57.5,-10.0,2,0,pink
1208,1208,1856,2016,0.7,3.25,37.09,-95.71,738,34.8888,-6.369028,1,0,pink
1209,1209,1542,2015,0.7,3.5,37.09,-95.71,738,-90.2308,15.7835,1,0,pink
1210,1210,1251,2014,0.7,3.0,37.09,-95.71,738,-63.5887,-16.2902,8,0,pink
1211,1211,1255,2014,0.7,3.5,37.09,-95.71,738,-70.1627,18.7357,6,0,pink
1212,1212,1137,2013,0.55,2.5,-9.19,-75.02,17,-75.0152,-9.189967,45,0,pink
1213,1213,1137,2013,0.7,2.75,-9.19,-75.02,17,-75.0152,-9.189967,45,0,pink
1214,1214,331,2009,0.75,4.0,37.09,-95.71,738,46.8691,-18.7669,56,1,purple
1215,1215,439,2009,0.67,3.5,37.09,-95.71,738,46.8691,-18.7669,56,1,purple
1216,1216,439,2009,0.7,3.5,37.09,-95.71,738,-66.5897,6.4238,1,1,purple
1217,1217,196,2007,0.7,4.0,37.09,-95.71,738,46.8691,-18.7669,56,1,purple
1218,1218,1034,2013,0.67,4.0,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1219,1219,1271,2014,0.73,2.25,55.37,-1.17,95,46.8691,-18.7669,2,0,pink
1220,1220,1271,2014,0.64,2.75,55.37,-1.17,95,46.8691,-18.7669,2,0,pink
1221,1221,1454,2015,0.82,3.0,37.09,-95.71,738,-70.1627,18.7357,37,0,pink
1222,1222,1658,2015,0.7,3.25,50.85,4.47,37,12.3547,7.3697,1,0,pink
1223,1223,478,2010,0.75,3.0,50.85,4.47,37,-66.5897,6.4238,19,1,purple
1224,1224,478,2010,0.75,3.25,50.85,4.47,37,-61.2225,10.6918,3,1,purple
1225,1225,516,2010,0.78,3.75,50.85,4.47,37,-77.7812,21.5218,1,1,purple
1226,1226,531,2010,0.85,3.0,50.85,4.47,37,-75.0152,-9.189967,1,1,purple
1227,1227,414,2009,0.72,3.0,50.85,4.47,37,-51.9253,-14.235,1,1,purple
1228,1228,445,2009,0.72,3.0,50.85,4.47,37,-102.5528,23.6345,1,1,purple
1229,1229,111,2007,0.7,4.0,50.85,4.47,37,-66.5897,6.4238,1,1,purple
1230,1230,129,2007,0.72,3.75,50.85,4.47,37,-78.1834,-1.8312,1,1,purple
1231,1231,141,2007,0.72,4.0,50.85,4.47,37,46.8691,-18.7669,1,1,purple
1232,1232,166,2007,0.85,3.5,50.85,4.47,37,-66.5897,6.4238,1,1,purple
1233,1233,81,2006,0.72,4.0,50.85,4.47,37,-102.5528,23.6345,1,1,purple
1234,1234,93,2006,0.72,3.0,50.85,4.47,37,113.9213,-0.7893,1,1,purple
1235,1235,93,2006,0.72,4.0,50.85,4.47,37,-66.5897,6.4238,1,1,purple
1236,1236,1772,2016,0.8,2.5,37.09,-95.71,738,-86.2419,15.2,1,0,pink
1237,1237,1506,2015,0.62,2.5,37.09,-95.71,738,-85.2072,12.8654,1,0,pink
1238,1238,1506,2015,0.8,2.75,37.09,-95.71,738,-85.2072,12.8654,3,0,pink
1239,1239,1510,2015,0.8,2.75,37.09,-95.71,738,-85.2072,12.8654,2,0,pink
1240,1240,1510,2015,0.8,2.75,37.09,-95.71,738,-85.2072,12.8654,1,0,pink
1241,1241,1510,2015,0.8,3.25,37.09,-95.71,738,-85.2072,12.8654,3,0,pink
1242,1242,1311,2014,0.73,3.25,37.09,-95.71,738,46.8691,-18.7669,2,0,pink
1243,1243,1315,2014,0.73,2.5,37.09,-95.71,738,179.4144,-17.7134,1,0,pink
1244,1244,1319,2014,0.73,3.25,37.09,-95.71,738,-78.1834,-1.8312,1,0,pink
1245,1245,1319,2014,0.73,3.5,37.09,-95.71,738,-78.1834,-1.8312,1,0,pink
1246,1246,829,2012,0.76,2.5,37.09,-95.71,738,-70.1627,18.7357,1,0,pink
1247,1247,829,2012,0.82,2.75,37.09,-95.71,738,-75.0152,-9.189967,45,0,pink
1248,1248,1820,2016,0.7,3.75,37.09,-95.71,738,-70.1627,18.7357,1,0,pink
1249,1249,1387,2014,0.7,3.75,37.09,-95.71,738,-66.5897,6.4238,1,0,pink
1250,1250,647,2011,0.7,3.5,37.09,-95.71,738,-84.0739,9.7489,1,1,purple
1251,1251,654,2011,0.7,3.0,37.09,-95.71,738,-84.0739,9.7489,1,1,purple
1252,1252,789,2011,0.7,2.75,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1253,1253,789,2011,0.7,3.5,37.09,-95.71,738,-51.9253,-14.235,4,0,pink
1254,1254,607,2010,0.82,3.75,37.09,-95.71,738,-84.0739,9.7489,1,1,purple
1255,1255,1446,2015,0.75,3.25,46.6,2.21,144,-75.0152,-9.189967,45,0,pink
1256,1256,717,2011,0.75,3.25,46.6,2.21,144,-66.5897,6.4238,1,1,purple
1257,1257,486,2010,0.75,3.5,46.6,2.21,144,-66.5897,6.4238,19,1,purple
1258,1258,451,2009,0.75,2.0,46.6,2.21,144,-66.5897,6.4238,6,1,purple
1259,1259,199,2008,0.75,3.0,46.6,2.21,144,147.3257,-6.314993,1,1,purple
1260,1260,202,2008,1.0,3.0,46.6,2.21,144,46.8691,-18.7669,1,1,purple
1261,1261,280,2008,0.75,2.0,46.6,2.21,144,-70.1627,18.7357,1,1,purple
1262,1262,280,2008,0.75,3.5,46.6,2.21,144,-51.9253,-14.235,1,1,purple
1263,1263,162,2007,0.75,4.0,46.6,2.21,144,6.6131,0.1864,1,1,purple
1264,1264,105,2006,0.75,3.0,46.6,2.21,144,-51.9253,-14.235,1,1,purple
1265,1265,105,2006,0.75,3.5,46.6,2.21,144,34.8888,-6.369028,11,1,purple
1266,1266,5,2006,0.75,3.5,46.6,2.21,144,6.6131,0.1864,1,1,purple
1267,1267,5,2006,0.75,3.5,46.6,2.21,144,-61.2225,10.6918,11,1,purple
1268,1268,5,2006,0.75,3.75,46.6,2.21,144,46.8691,-18.7669,1,1,purple
1269,1269,32,2006,0.75,3.5,46.6,2.21,144,113.9213,-0.7893,1,1,purple
1270,1270,32,2006,0.75,3.5,46.6,2.21,144,-66.5897,6.4238,1,1,purple
1271,1271,32,2006,0.75,4.0,46.6,2.21,144,-77.2975,18.1096,2,1,purple
1272,1272,40,2006,0.75,3.0,46.6,2.21,144,-78.1834,-1.8312,5,1,purple
1273,1273,40,2006,0.75,3.0,46.6,2.21,144,166.9592,-15.3767,3,1,purple
1274,1274,40,2006,0.75,3.25,46.6,2.21,144,-1.0232,7.9465,15,1,purple
1275,1275,40,2006,0.75,3.5,46.6,2.21,144,-74.2973,4.5709,2,1,purple
