,Unnamed: 0,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Latitude,Longitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group
971,1015,Malmo,Chuao,1856,2016,0.7,Sweden,3.0,Venezuela,60.13,18.64,5,extra rare,Average Amount
972,1016,Mana,Ecuador,1446,2015,0.74,U.S.A.,2.5,Ecuador,37.09,-95.71,738,most common,Average Amount
973,1017,Mana,Peru,1219,2014,0.74,U.S.A.,2.5,Peru,37.09,-95.71,738,most common,Average Amount
974,1018,Mana,Venezuela,1219,2014,0.74,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount
975,1019,Mana,Conacado,821,2012,0.74,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount
976,1020,Manifesto Cacao,Colombia,1331,2014,0.7,Colombia,2.75,Colombia,4.57,-74.3,23,extra rare,Average Amount
977,1021,Manoa,Markham Valley,1522,2015,0.72,U.S.A.,3.5,Papua New Guinea,37.09,-95.71,738,most common,Average Amount
978,1022,Manoa,Coto Brus,1522,2015,0.72,U.S.A.,3.75,Costa Rica,37.09,-95.71,738,most common,Average Amount
979,1023,Manoa,"Waiahole, O'ahu",1089,2013,0.72,U.S.A.,3.75,Hawaii,37.09,-95.71,738,most common,Average Amount
980,1024,Manoa,"Liberia, #174",1003,2012,0.72,U.S.A.,3.25,Liberia,37.09,-95.71,738,most common,Average Amount
981,1025,Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,0.72,U.S.A.,2.75,Hawaii,37.09,-95.71,738,most common,Average Amount
982,1026,Manoa,Piura,1007,2012,0.72,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Average Amount
983,1027,Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,0.72,U.S.A.,3.25,Hawaii,37.09,-95.71,738,most common,Average Amount
984,1028,Manufaktura Czekolady,Johe,1844,2016,0.7,Poland,3.75,Nicaragua,51.92,19.15,7,extra rare,Average Amount
985,1029,Manufaktura Czekolady,Peru,1848,2016,0.7,Poland,3.5,Peru,51.92,19.15,7,extra rare,Average Amount
986,1030,Manufaktura Czekolady,Porcelana,1255,2014,0.7,Poland,3.75,Venezuela,51.92,19.15,7,extra rare,Average Amount
987,1031,Manufaktura Czekolady,Kolumbia,1279,2014,0.85,Poland,3.5,Colombia,51.92,19.15,7,extra rare,High Amount
988,1032,Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,0.7,Poland,3.25,Dominican Republic,51.92,19.15,7,extra rare,Average Amount
989,1033,Manufaktura Czekolady,Grand Cru Ghana,871,2012,0.7,Poland,3.5,Ghana,51.92,19.15,7,extra rare,Average Amount
990,1034,Manufaktura Czekolady,Grand Cru Ecuador,875,2012,0.7,Poland,3.25,Ecuador,51.92,19.15,7,extra rare,Average Amount
991,1035,Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,0.75,U.S.A.,3.25,Vietnam,37.09,-95.71,738,most common,Average Amount
992,1036,Map Chocolate,"ROIG, 2014",1474,2015,0.7,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount
993,1037,Map Chocolate,"Maranon, 2014",1474,2015,0.62,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Light Amount
994,1038,Map Chocolate,Ecuador,1478,2015,0.7,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount
995,1039,Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,0.7,U.S.A.,2.75,Trinidad,37.09,-95.71,738,most common,Average Amount
996,1040,Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,0.7,U.S.A.,3.5,Nicaragua,37.09,-95.71,738,most common,Average Amount
997,1041,Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,0.68,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Average Amount
998,1042,Map Chocolate,Colombia,1610,2015,0.75,U.S.A.,2.75,Colombia,37.09,-95.71,738,most common,Average Amount
999,1043,Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,0.72,U.S.A.,3.0,Tanzania,37.09,-95.71,738,most common,Average Amount
1000,1044,Map Chocolate,Le Chocolat Chaud,1634,2015,0.78,U.S.A.,3.5,Honduras,37.09,-95.71,738,most common,Average Amount
1001,1045,Marana,Piura,1872,2016,0.7,Peru,3.0,Peru,-9.19,-75.02,17,extra rare,Average Amount
1002,1046,Marana,Cusco,1884,2016,0.7,Peru,2.75,Peru,-9.19,-75.02,17,extra rare,Average Amount
1003,1047,Marana,San Martin,1884,2016,0.7,Peru,3.0,Peru,-9.19,-75.02,17,extra rare,Average Amount
1004,1049,Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,0.85,Vietnam,3.25,Vietnam,14.06,108.28,11,extra rare,High Amount
1005,1050,Marou,Ben Tre,1650,2015,0.68,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1006,1051,Marou,"Dak Lak, Batch 2451",1650,2015,0.7,Vietnam,3.75,Vietnam,14.06,108.28,11,extra rare,Average Amount
1007,1052,Marou,"Tan Phu Dong, Treasure Island",1149,2013,0.75,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1008,1053,Marou,Ba Ria,845,2012,0.76,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1009,1054,Marou,Dong Nai,845,2012,0.72,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1010,1055,Marou,"Tien Giang, Gao Co-op",845,2012,0.7,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1011,1056,Marou,Ben Tre,849,2012,0.78,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1012,1057,Marou,Tien Giang,895,2012,0.8,Vietnam,3.0,Vietnam,14.06,108.28,11,extra rare,High Amount
1013,1058,Marou,Lam Dong,955,2012,0.74,Vietnam,3.5,Vietnam,14.06,108.28,11,extra rare,Average Amount
1014,1059,Mars,"Matina 1-6, prototype",537,2010,0.65,U.S.A.,3.0,Costa Rica,37.09,-95.71,738,most common,Average Amount
1015,1060,Mars,Ivory Coast,544,2010,0.65,U.S.A.,3.0,Ivory Coast,37.09,-95.71,738,most common,Average Amount
1016,1061,Mars,Nigeria,544,2010,0.65,U.S.A.,3.25,Nigeria,37.09,-95.71,738,most common,Average Amount
1017,1062,Mars,"Ghana, prototype",544,2010,0.65,U.S.A.,3.5,Ghana,37.09,-95.71,738,most common,Average Amount
1018,1063,Marsatta,Dominican Republic,1189,2013,0.74,U.S.A.,2.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1019,1064,Marsatta,Dominican Republic,1189,2013,0.89,U.S.A.,2.5,Dominican Republic,37.09,-95.71,738,most common,High Amount
1020,1065,Martin Mayer,Alto Beni,1836,2016,0.76,Austria,2.75,Bolivia,47.52,14.55,23,extra rare,Average Amount
1021,1066,Martin Mayer,Pisa,1836,2016,0.82,Austria,3.0,Haiti,47.52,14.55,23,extra rare,High Amount
1022,1067,Martin Mayer,Tumaco,1836,2016,0.74,Austria,3.25,Colombia,47.52,14.55,23,extra rare,Average Amount
1023,1068,Mast Brothers,Guatemala,1450,2015,0.76,U.S.A.,3.0,Guatemala,37.09,-95.71,738,most common,Average Amount
1024,1069,Mast Brothers,Tanzania,1450,2015,0.74,U.S.A.,3.25,Tanzania,37.09,-95.71,738,most common,Average Amount
1025,1070,Mast Brothers,French Laundry 20th Anniversary,1359,2014,0.75,U.S.A.,3.75,"Peru, Belize",37.09,-95.71,738,most common,Average Amount
1026,1071,Mast Brothers,Shake Shack,959,2012,0.73,U.S.A.,3.5,"Peru, Mad., Dom. Rep.",37.09,-95.71,738,most common,Average Amount
1027,1072,Mast Brothers,Madagascar,999,2012,0.72,U.S.A.,2.5,,37.09,-95.71,738,most common,Average Amount
1028,1073,Mast Brothers,Chuao,999,2012,0.73,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount
1029,1075,Mast Brothers,"Chuao, Med. Roast",701,2011,0.76,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
1030,1076,Mast Brothers,"Chuao, Dark Roast",709,2011,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
1031,1077,Mast Brothers,"Chuao, Light Roast",713,2011,0.81,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,High Amount
1032,1078,Mast Brothers,Moho River,773,2011,0.7,U.S.A.,3.5,Belize,37.09,-95.71,738,most common,Average Amount
1033,1079,Mast Brothers,Papua New Guinea,777,2011,0.71,U.S.A.,2.75,Papua New Guinea,37.09,-95.71,738,most common,Average Amount
1034,1080,Mast Brothers,San Martin,777,2011,0.75,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Average Amount
1035,1081,Mast Brothers,Conacado,777,2011,0.73,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1036,1082,Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,0.74,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1037,1083,Mast Brothers,Patanemo,572,2010,0.81,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,High Amount
1038,1084,Mast Brothers,Ocumare de la Costa,572,2010,0.75,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount
1039,1085,Mast Brothers,"Dominican Republic, Coop",572,2010,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1040,1086,Matale,"Malekula P., 2013",1177,2013,0.72,Australia,3.5,Vanuatu,-25.27,133.78,46,rare,Average Amount
1041,1087,Matale,"Somia, 2013",1177,2013,0.68,Australia,4.0,Madagascar,-25.27,133.78,46,rare,Average Amount
1042,1088,Matale,"Kulili P., 2013",1177,2013,0.74,Australia,4.0,Papua New Guinea,-25.27,133.78,46,rare,Average Amount
1043,1089,Matale,Blend,1181,2013,0.7,Australia,3.75,"PNG, Vanuatu, Mad",-25.27,133.78,46,rare,Average Amount
1044,1090,Maverick,Maya Mountain,1367,2014,0.7,U.S.A.,3.25,Belize,37.09,-95.71,738,most common,Average Amount
1045,1091,Maverick,Elvesia,1367,2014,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1046,1092,Maverick,Tumbes,1430,2014,0.82,U.S.A.,3.25,Peru,37.09,-95.71,738,most common,High Amount
1047,1093,Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,0.63,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Light Amount
1048,1094,Mayacama,Hispaniola,1728,2016,0.72,U.S.A.,3.0,Domincan Republic,37.09,-95.71,738,most common,Average Amount
1049,1095,Meadowlands,Bolivia,1287,2014,0.7,U.S.A.,2.5,Bolivia,37.09,-95.71,738,most common,Average Amount
1050,1096,Meadowlands,Venezuela,1287,2014,0.7,U.S.A.,2.75,Venezuela,37.09,-95.71,738,most common,Average Amount
1051,1097,Meadowlands,Belize,1287,2014,0.7,U.S.A.,3.0,Belize,37.09,-95.71,738,most common,Average Amount
1052,1098,Meadowlands,"Nicaragua, w/ inbs",1291,2014,0.7,U.S.A.,3.0,Nicaragua,37.09,-95.71,738,most common,Average Amount
1053,1099,Meadowlands,Dominican Republic,1291,2014,0.7,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1054,1100,Menakao (aka Cinagra),Madagascar,837,2012,0.8,Madagascar,2.5,Madagascar,-18.77,46.87,17,extra rare,High Amount
1055,1101,Menakao (aka Cinagra),Madagascar,841,2012,0.72,Madagascar,2.5,Madagascar,-18.77,46.87,17,extra rare,Average Amount
1056,1102,Mesocacao,El Salvador,1494,2015,0.8,Honduras,2.75,El Salvador,15.2,-86.24,6,extra rare,High Amount
1057,1103,Mesocacao,El Salvador,1494,2015,0.7,Honduras,3.0,El Salvador,15.2,-86.24,6,extra rare,Average Amount
1058,1104,Mesocacao,Honduras,1347,2014,0.8,Honduras,3.25,Honduras,15.2,-86.24,6,extra rare,High Amount
1059,1105,Mesocacao,Honduras,1347,2014,0.7,Honduras,3.5,Honduras,15.2,-86.24,6,extra rare,Average Amount
1060,1106,Mesocacao,"La Tronca, Matagalpa",1351,2014,0.7,Honduras,3.25,Nicaragua,15.2,-86.24,6,extra rare,Average Amount
1061,1107,Mesocacao,"La Tronca, Matagalpa",1351,2014,0.8,Honduras,3.5,Nicaragua,15.2,-86.24,6,extra rare,High Amount
1062,1108,Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,0.7,Sweden,3.0,Brazil,60.13,18.64,5,extra rare,Average Amount
1063,1109,Metiisto,Akesson Estate,1267,2014,0.72,Sweden,3.5,Madagascar,60.13,18.64,5,extra rare,Average Amount
1064,1110,Metropolitan,South America,1688,2015,0.7,Amsterdam,3.5,South America,52.37,4.9,4,extra rare,Average Amount
1065,1111,Michel Cluizel,"Chiapas, Mokaya P.",963,2012,0.66,France,3.75,Mexico,46.6,2.21,144,somewhat common,Average Amount
1066,1112,Michel Cluizel,"Carenero Superior, Concepcion",117,2007,0.66,France,3.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount
1067,1113,Michel Cluizel,Vila Gracinda,135,2007,0.67,France,3.5,Sao Tome,46.6,2.21,144,somewhat common,Average Amount
1068,1116,Michel Cluizel,Tamarina,24,2006,0.7,France,3.0,Sao Tome,46.6,2.21,144,somewhat common,Average Amount
1069,1117,Michel Cluizel,Los Ancones P.,24,2006,0.67,France,4.0,Dominican Republic,46.6,2.21,144,somewhat common,Average Amount
1070,1118,Michel Cluizel,Mangaro P.,24,2006,0.65,France,4.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount
1071,1119,Michel Cluizel,Maralumi P.,24,2006,0.64,France,4.0,Papua New Guinea,46.6,2.21,144,somewhat common,Light Amount
1072,1121,Middlebury,Maya Mountain,1490,2015,0.8,U.S.A.,3.5,Belize,37.09,-95.71,738,most common,High Amount
1073,1122,Middlebury,San Juan Estate,1490,2015,0.7,U.S.A.,3.5,Trinidad,37.09,-95.71,738,most common,Average Amount
1074,1123,Middlebury,Oko Caribe,1490,2015,0.75,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1075,1124,Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,0.75,U.S.A.,3.75,Venezuela,37.09,-95.71,738,most common,Average Amount
1076,1125,Middlebury,Kokoa Kamili,1538,2015,0.75,U.S.A.,3.25,Tanzania,37.09,-95.71,738,most common,Average Amount
1077,1126,Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,0.7,U.S.A.,3.5,Nicaragua,37.09,-95.71,738,most common,Average Amount
1078,1127,Middlebury,La Red,1117,2013,0.75,U.S.A.,2.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount
1079,1128,Middlebury,Belize,1117,2013,0.8,U.S.A.,3.25,Belize,37.09,-95.71,738,most common,High Amount
1080,1130,Middlebury,Alto Beni,887,2012,0.75,U.S.A.,2.0,Bolivia,37.09,-95.71,738,most common,Average Amount
1081,1131,Middlebury,"Balinese, Java",887,2012,0.7,U.S.A.,2.5,Indonesia,37.09,-95.71,738,most common,Average Amount
1082,1132,Millcreek Cacao Roasters,Ecuador,1073,2013,0.7,U.S.A.,2.5,Ecuador,37.09,-95.71,738,most common,Average Amount
1083,1133,Millcreek Cacao Roasters,Ecuador,825,2012,0.7,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount
1084,1134,Mindo,Ecuador,607,2010,0.67,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Average Amount
1085,1135,Mindo,Ecuador,607,2010,0.77,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Average Amount
1086,1136,Minimal,"Acul-du-Nord, 2015",1920,2016,0.7,Japan,3.5,Haiti,36.2,138.25,17,extra rare,Average Amount
1087,1137,Mission,"Fazenda Camboa, Bahia",1880,2016,0.75,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Average Amount
1088,1138,Mission,"Bahia, Fazenda Venturosa",1626,2015,0.7,Brazil,3.5,Brazil,-14.24,-51.93,17,extra rare,Average Amount
1089,1139,Mita,Tumaco,955,2012,0.65,Colombia,2.5,Colombia,4.57,-74.3,23,extra rare,Average Amount
1090,1140,Moho,"Toledo District, w/ nibs",1026,2013,0.73,U.S.A.,3.25,Belize,37.09,-95.71,738,most common,Average Amount
1091,1141,Moho,Toledo District,1030,2013,0.72,U.S.A.,3.0,Belize,37.09,-95.71,738,most common,Average Amount
1092,1142,Moho,"Umoho R., Toledo District, San Felipe",607,2010,0.67,U.S.A.,2.75,Belize,37.09,-95.71,738,most common,Average Amount
1093,1143,Molucca,La Red,1614,2015,0.7,U.S.A.,3.0,Domincan Republic,37.09,-95.71,738,most common,Average Amount
1094,1144,Molucca,Indonesia,1618,2015,0.7,U.S.A.,2.75,Indonesia,37.09,-95.71,738,most common,Average Amount
1095,1145,Molucca,Peru,1618,2015,0.7,U.S.A.,3.25,Peru,37.09,-95.71,738,most common,Average Amount
1096,1146,Momotombo,Matagalpa,661,2011,0.7,Nicaragua,2.75,Nicaragua,12.87,-85.21,5,extra rare,Average Amount
1097,1147,Momotombo,Mombacho,661,2011,0.7,Nicaragua,2.75,Nicaragua,12.87,-85.21,5,extra rare,Average Amount
1098,1148,Momotombo,Oscuro,772,2011,0.7,Nicaragua,3.25,Nicaragua,12.87,-85.21,5,extra rare,Average Amount
1099,1149,Monarque,Oko Caribe,1812,2016,0.72,Canada,3.5,Dominican Republic,56.13,-106.35,117,somewhat rare,Average Amount
1100,1150,Monsieur Truffe,Papaua New Guinea,1391,2014,0.7,Australia,3.25,Papua New Guinea,-25.27,133.78,46,rare,Average Amount
1101,1151,Montecristi,Manabi,1654,2015,0.7,Ecuador,3.25,Ecuador,-1.83,-78.18,54,rare,Average Amount
1102,1152,Montecristi,Manabi,1654,2015,0.63,Ecuador,3.5,Ecuador,-1.83,-78.18,54,rare,Light Amount
1103,1153,Montecristi,Manabi,1658,2015,0.85,Ecuador,3.5,Ecuador,-1.83,-78.18,54,rare,High Amount
1104,1154,Muchomas (Mesocacao),Nicaragua,1462,2015,0.7,U.S.A.,3.5,Nicaragua,37.09,-95.71,738,most common,Average Amount
1105,1155,Muchomas (Mesocacao),Nicaragua,1462,2015,0.8,U.S.A.,3.5,Nicaragua,37.09,-95.71,738,most common,High Amount
